y_true_log,y_pred_log,y_true_original,y_pred_original,residual_log,residual_original,source,valid,x_coord,y_coord
5.642631,5.7112637,281.20422,301.25278,0.0686326,20.048553,0,True,74.64155594666151,15.046242019831512
5.621082,5.564578,275.18802,260.015,-0.056503773,-15.173004,0,True,74.64910179504811,15.046242019831512
5.4685965,5.4854,236.12715,240.14543,0.016803741,4.01828,0,True,74.6340100982749,15.038696171444908
5.587939,5.693964,266.18433,296.06888,0.10602522,29.884552,0,True,74.64155594666151,15.038696171444908
5.42693,5.4214687,226.44989,225.2111,-0.005461216,-1.2387848,0,True,74.64910179504811,15.038696171444908
4.973617,4.908614,143.5488,134.45155,-0.06500292,-9.097244,0,True,74.65664764343472,15.038696171444908
5.4423876,5.575026,229.99304,262.7564,0.13263845,32.763367,0,True,74.71701443052756,15.038696171444908
5.5031285,5.4044333,244.45866,221.39014,-0.09869528,-23.068527,0,True,74.72456027891415,15.038696171444908
5.7424417,5.645185,310.82486,281.9259,-0.09725666,-28.898956,0,True,74.73210612730075,15.038696171444908
5.7478447,5.8041024,312.51422,330.65738,0.056257725,18.143158,0,True,74.73965197568737,15.038696171444908
5.6488214,5.5320444,282.95657,251.65993,-0.11677694,-31.296646,0,True,74.74719782407396,15.038696171444908
5.55674,5.314084,257.97717,202.17833,-0.24265575,-55.798843,0,True,74.6264642498883,15.031150323058304
5.359487,5.509824,211.61588,246.10759,0.15033674,34.491714,0,True,74.6340100982749,15.031150323058304
5.5928903,5.6990633,267.51056,297.5876,0.10617304,30.077026,0,True,74.64155594666151,15.031150323058304
5.409911,5.2592583,222.61172,191.33878,-0.15065289,-31.27295,0,True,74.64910179504811,15.031150323058304
5.295978,5.261164,198.53268,191.70572,-0.03481388,-6.8269653,0,True,74.65664764343472,15.031150323058304
5.41246,5.468581,223.18237,236.12352,0.05612135,12.941147,0,True,74.71701443052756,15.031150323058304
5.606401,5.538844,271.16293,253.38377,-0.06755686,-17.77916,0,True,74.72456027891415,15.031150323058304
5.67042,5.6225376,289.1564,275.5904,-0.047882557,-13.5660095,0,True,74.73210612730075,15.031150323058304
5.7640166,5.749529,317.62558,313.0427,-0.014487743,-4.5828857,0,True,74.73965197568737,15.031150323058304
5.677082,5.577753,291.0959,263.47668,-0.099328995,-27.619202,0,True,74.74719782407396,15.031150323058304
5.5150237,5.5738597,247.39586,262.44897,0.058835983,15.053116,0,True,74.75474367246056,15.031150323058304
5.6851845,5.5820947,293.47217,264.62744,-0.10308981,-28.844727,0,True,74.6189184015017,15.0236044746717
5.4990473,5.4013157,243.45892,220.6979,-0.09773159,-22.761017,0,True,74.6264642498883,15.0236044746717
5.470629,5.239595,236.60966,187.59369,-0.23103428,-49.015976,0,True,74.6340100982749,15.0236044746717
5.2125077,5.1317616,182.55377,168.31512,-0.080746174,-14.238647,0,True,74.64155594666151,15.0236044746717
5.157906,5.2343245,172.80014,186.60231,0.0764184,13.80217,0,True,74.64910179504811,15.0236044746717
5.1027465,5.041169,163.47302,153.65073,-0.06157732,-9.822296,0,True,74.65664764343472,15.0236044746717
5.3451867,5.282671,208.59702,195.89507,-0.062515736,-12.70195,0,True,74.66419349182132,15.0236044746717
5.475595,5.4319305,237.79251,227.59012,-0.043664455,-10.202393,0,True,74.70946858214094,15.0236044746717
5.4285393,5.3343043,226.81624,206.32846,-0.09423494,-20.487778,0,True,74.71701443052756,15.0236044746717
5.4210486,5.5294213,225.11612,250.99805,0.10837269,25.881927,0,True,74.72456027891415,15.0236044746717
5.5626764,5.7917724,259.5192,326.59314,0.22909594,67.073944,0,True,74.73210612730075,15.0236044746717
5.7030816,5.741626,298.78983,310.57053,0.038544178,11.780701,0,True,74.73965197568737,15.0236044746717
5.3431525,5.245613,208.17108,188.73209,-0.097539425,-19.438995,0,True,74.74719782407396,15.0236044746717
5.5685987,5.6929784,261.06662,295.7762,0.124379635,34.709595,0,True,74.75474367246056,15.0236044746717
5.637397,5.588437,279.731,266.3175,-0.048959732,-13.413483,0,True,74.61137255311509,15.016058626285096
5.5261207,5.5137815,250.16765,247.08751,-0.012339115,-3.0801392,0,True,74.6189184015017,15.016058626285096
5.49758,5.35487,243.10051,210.63641,-0.14271021,-32.464096,0,True,74.6264642498883,15.016058626285096
5.508705,5.4236717,245.83131,225.71,-0.08503342,-20.121307,0,True,74.6340100982749,15.016058626285096
4.9508705,5.037266,140.29791,153.04823,0.08639526,12.75032,0,True,74.64155594666151,15.016058626285096
5.244692,5.2964315,188.55739,198.62318,0.051739693,10.065796,0,True,74.64910179504811,15.016058626285096
4.990755,5.0946217,146.04741,162.1421,0.10386658,16.094696,0,True,74.65664764343472,15.016058626285096
4.782051,4.8498964,118.34889,126.72716,0.067845345,8.378265,0,True,74.66419349182132,15.016058626285096
5.262789,5.217667,192.01903,183.50325,-0.04512167,-8.515778,0,True,74.70946858214094,15.016058626285096
5.020204,4.933526,150.44221,137.8683,-0.08667803,-12.573914,0,True,74.71701443052756,15.016058626285096
5.2326126,5.257825,186.28146,191.06326,0.025212288,4.7817993,0,True,74.72456027891415,15.016058626285096
5.511927,5.477785,246.62787,238.31606,-0.034142017,-8.311813,0,True,74.73210612730075,15.016058626285096
5.4453373,5.293661,230.6754,198.07092,-0.15167618,-32.604477,0,True,74.73965197568737,15.016058626285096
5.3176365,5.26342,202.90138,192.14093,-0.054216385,-10.760452,0,True,74.74719782407396,15.016058626285096
5.5785446,5.5735655,263.6861,262.37146,-0.0049791336,-1.3146362,0,True,74.6189184015017,15.008512777898492
5.642761,5.5278606,281.24097,250.60506,-0.11490059,-30.63591,0,True,74.6264642498883,15.008512777898492
5.5796857,5.4332376,263.9883,227.88908,-0.14644814,-36.099228,0,True,74.6340100982749,15.008512777898492
5.2446585,5.2663,188.55107,192.698,0.021641731,4.146927,0,True,74.64155594666151,15.008512777898492
5.058294,5.106593,156.32187,164.1069,0.048299313,7.785034,0,True,74.64910179504811,15.008512777898492
4.835385,4.9325476,124.887024,137.7325,0.09716272,12.845474,0,True,74.65664764343472,15.008512777898492
5.0594435,5.0988007,156.50284,162.8253,0.039357185,6.322464,0,True,74.66419349182132,15.008512777898492
5.2077765,5.1209145,181.6874,166.48846,-0.08686209,-15.198929,0,True,74.70946858214094,15.008512777898492
4.624912,4.7639294,100.993774,116.20556,0.13901758,15.211784,0,True,74.71701443052756,15.008512777898492
5.15071,5.0108814,171.55397,149.03693,-0.13982868,-22.517044,0,True,74.72456027891415,15.008512777898492
5.2361283,5.033038,186.94104,152.39836,-0.20309019,-34.54268,0,True,74.73210612730075,15.008512777898492
4.9353094,4.8106384,138.11618,121.81,-0.12467098,-16.306183,0,True,74.73965197568737,15.008512777898492
