y_true_log,y_pred_log,y_true_original,y_pred_original,residual_log,residual_original,source,valid,x_coord,y_coord
5.475846,5.4545364,237.8524,232.81647,-0.021309376,-5.0359344,0,True,74.76983536923377,15.083971261764532
5.3752093,5.300411,214.98509,199.41922,-0.07479811,-15.565872,0,True,74.77738121762039,15.083971261764532
5.5159287,5.3228626,247.62077,203.96979,-0.19306612,-43.650986,0,True,74.78492706600699,15.083971261764532
5.4559984,5.543102,233.15855,254.46918,0.08710337,21.310623,0,True,74.76228952084718,15.076425413377928
5.3854446,5.255394,217.2071,190.59695,-0.13005066,-26.610153,0,True,74.76983536923377,15.076425413377928
5.2613263,5.0864105,191.73694,160.808,-0.17491579,-30.92894,0,True,74.77738121762039,15.076425413377928
5.4073915,5.2340126,222.04901,186.54382,-0.17337894,-35.505188,0,True,74.78492706600699,15.076425413377928
5.0797176,5.0047965,159.72867,148.12674,-0.07492113,-11.601929,0,True,74.79247291439358,15.076425413377928
5.492701,5.580201,241.91243,264.1249,0.087500095,22.212479,0,True,74.74719782407396,15.068879564991324
5.4791727,5.5138893,238.64836,247.11424,0.034716606,8.465881,0,True,74.75474367246056,15.068879564991324
5.460748,5.4880676,234.27338,240.78954,0.027319431,6.516159,0,True,74.76228952084718,15.068879564991324
4.921076,4.6548476,136.15009,104.0932,-0.2662282,-32.056885,0,True,74.76983536923377,15.068879564991324
5.3668704,5.419913,213.19147,224.85942,0.05304241,11.6679535,0,True,74.77738121762039,15.068879564991324
5.2129498,4.8370304,182.63492,125.09435,-0.37591934,-57.540565,0,True,74.78492706600699,15.068879564991324
5.285919,5.0476637,196.53566,154.65837,-0.2382555,-41.87729,0,True,74.79247291439358,15.068879564991324
5.3782825,5.574093,215.64987,262.5104,0.19581032,46.860535,0,True,74.8000187627802,15.068879564991324
5.6398945,5.5133224,280.433,246.97363,-0.12657213,-33.45938,0,True,74.73965197568737,15.06133371660472
